"","analysis_variable_name","SES_level","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","Odds_ratio_ELSA","Odds_ratio_ELSA_CI_lower","Odds_ratio_ELSA_CI_upper","Odds_ratio_HRS","Odds_ratio_HRS_CI_lower","Odds_ratio_HRS_CI_upper","OR_discrimination_cross_national_value","OR_discrimination_cross_national_values_CI_lower","OR_discrimination_cross_national_values_CI_upper","discrimination_chi_value_cross_national","discrimination_pvalue_cross_national","analysis_variable_name","SES_level","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","cross_country_OR_UK","CI1_UK","CI2_UK","cross_country_OR_USA","CI1_USA","CI2_USA","chi_value_cross_national","pvalue_cross_national"
"X-squared11","sex discrimination, male","2","473","407","7","18","0.000225644237322477","0.000106976152290719","0.000475950207093583","0.00214114366148783","0.00133481958535595","0.00343454368622183","0.14021164021164","0.057482971452188","0.342002223513971","22.2860423024701","2.34907874342351e-06","sex discrimination, male","2","473","407","7","18","0.914158558145942","0.883387951040768","0.946000982294245","1.21369021483578","1.07066631831392","1.37581981649322","0.976610013493602","0.323037174726808"
"X-squared12","race","1","192","705","33","140","0.0430758276966892","0.0296076024294497","0.0626706244173702","0.0613986999765056","0.0510267517244921","0.0738789013880243","0.595833333333333","0.389330830955857","0.911865521257327","5.29489655094962","0.0213880013049531","race discrimination","1","192","705","33","140","0.912421157974434","0.846880350587081","0.983034225486852","1.31790886243378","1.25884639771087","1.37974241562744","1.09602060400144","0.295141076979263"
"X-squared13","race","2","18","12","5","2","0.14792899408284","0.0527367290240853","0.414947754540614","0.04","0.00876415390304048","0.182561832859293","1.34615384615385","0.205469982641832","8.81943996984531","1.43685379165256e-31","1","race discrimination","2","18","12","5","2","1.06893910574725","0.737692158112376","1.54892633631827","1.18136041286565","0.825477830605428","1.6906722062572","0.0263736263736263","0.870991194797464"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X-squared14","weight discrimination,  BMI>29.9","1","1771","4720","167","185","0.0108398735082493","0.00924295766577816","0.0127126902365784","0.00166413622334677","0.00143662164913995","0.00192768177446913","1.45132293923358","1.16614503214207","1.80624040397146","10.8567163355715","0.000984380859071452","weight discrimination,  BMI>29.9","1","1771","4720","167","185","1.01522006825187","0.993637687432432","1.03727123076882","1.28674422786459","1.21319832515805","1.36474859353858","0.123753128339274","0.72499903739766"
"X-squared15","weight discrimination,  BMI>29.9","2","154","472","10","14","0.00482253086419753","0.00254042802696558","0.00915467932540366","0.000934383402299728","0.000549005749009969","0.00159027905275608","1.08193277310924","0.467129123101441","2.5058992634755","1.37080546154766e-29","0.999999999999997","weight discrimination,  BMI>29.9","2","154","472","10","14","0.989007382681255","0.924628115664845","1.05786919781766","1.37546025654293","1.11451389458898","1.69750321329717","0.00593746240503634","0.938579846131892"
"X-squared16","weight discrimination,  BMI>25.0, <=29.9 ","1","2222","1588","16","14","5.26052330699512e-05","3.21702412794322e-05","8.60208203695736e-05","7.91127744527096e-05","4.674549375905e-05","0.000133891645553398","0.440285575656755","0.21389675446931","0.906284850428685","4.3415849889565","0.0371922847963919","weight discrimination,  BMI>25.0, <=29.9 ","1","2222","1588","16","14","0.990326296721188","0.98064649137738","1.00010164988199","1.06065487626016","1.02593635639946","1.0965482990413","0.0376810857009779","0.846084924153397"
"X-squared17","weight discrimination,  BMI>25.0, <=29.9 ","2","323","253","1","0","9.64468963388769e-06","1.35441055903119e-06","6.86793509647162e-05","0","0","NaN","Inf","NaN","Inf","1.86748516021358e-27","0.999999999999965","weight discrimination,  BMI>25.0, <=29.9 ","1","2222","1588","16","14","0.990326296721188","0.98064649137738","1.00010164988199","1.06065487626016","1.02593635639946","1.0965482990413","0.0376810857009779","0.846084924153397"
"X-squared18","weight discrimination,  BMI>25.0 ","1","3993","6308","183","199","0.00230702461404923","0.00198900101229576","0.00267589736602787","0.00106112342641178","0.000921403353126997","0.00122203041942337","0.831821681670984","0.676772248047065","1.02239314938609","2.88665377500793","0.0893162573078567","weight discrimination,  BMI>25.0 ","1","3993","6308","183","199","0.991497548843793","0.978492700077729","1.00467524109803","1.23109026302095","1.18232406858183","1.28186787022181","0.0754522625220204","0.783557678269154"
"X-squared19","weight discrimination,  BMI>25.0 ","2","477","725","11","14","0.000557203116653465","0.000306443502052489","0.00101315678462373","0.000387718808911994","0.000228449730097681","0.000658026055534662","0.549822637858755","0.246331484004053","1.22722815690497","1.62237516892781","0.202760921982142","weight discrimination,  BMI>25.0 ","2","477","725","11","14","0.976897127752165","0.945223860425524","1.00963172658465","1.22126199035941","1.08358507621996","1.37643170049886","0.0631436610485068","0.801594525473533"
